POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2061,0.28518477,0.08756100,0.23660962,0.49083865,0.32572983,0.09031634,0.34250379,0.79673023,0.08480565,0.42886222,0.24771440,0.07336897,0.55281508,0.00374372,0.09013278,0.05564820
2062,0.21964638,0.07837925,0.18527315,0.28070447,0.33422865,0.10237653,0.59215315,0.56857256,0.05438196,0.30424937,0.11069084,0.07381237,0.25715958,0.00453670,0.17163860,0.06560679
2063,0.19496647,0.10085473,0.09738689,0.28189880,0.29972546,0.08307074,0.75147708,0.24554145,0.11863873,0.38012343,0.08347776,0.11881255,0.18367418,0.00150232,0.09645215,0.05943303
2064,0.22246065,0.12454059,0.20770176,0.16765079,0.38994949,0.17757009,0.71776882,0.56182485,0.07151108,0.24627081,0.23949036,0.10263417,0.08903077,0.00222508,0.16185933,0.08918701
2065,0.23784912,0.07801554,0.25032103,0.27951165,0.34354827,0.09746340,0.56900545,0.61900911,0.05856768,0.27400787,0.18979160,0.08871513,0.28501544,0.00267339,0.10489377,0.28213824
2066,0.22030787,0.10809144,0.21123528,0.22666485,0.33523990,0.12075507,0.68193298,0.42424465,0.09542781,0.30253289,0.14463311,0.11402689,0.15079681,0.00368500,0.13031352,0.29625639
2067,0.25614125,0.17881964,0.25656910,0.17805700,0.41111925,0.25708253,0.72177167,0.52026346,0.10055675,0.28386312,0.37558232,0.14535932,0.07225088,0.00160508,0.15650598,0.24732533
2068,0.21038631,0.11610064,0.15383644,0.23295828,0.33864987,0.13673943,0.78693570,0.31898128,0.09546185,0.32724054,0.08516228,0.11194305,0.13867602,0.00214251,0.13979307,0.15748253
2069,0.20011786,0.10426752,0.12920251,0.24257339,0.32442801,0.12497369,0.78213797,0.25707321,0.08356136,0.35130549,0.10984822,0.13352718,0.13384130,0.00126366,0.10891168,0.13349947
2070,0.20704665,0.11746575,0.13833801,0.23579350,0.33658932,0.13963347,0.78139115,0.28565764,0.09529804,0.36172250,0.12095520,0.13967504,0.10986449,0.00156901,0.10523039,0.12649192
2071,0.22149486,0.14474898,0.14272827,0.24875847,0.34974371,0.17919897,0.79436600,0.26390883,0.11029900,0.36450402,0.16702350,0.16150102,0.13301292,0.00093862,0.14123796,0.12686665
2072,0.22585482,0.16032538,0.15341520,0.22725461,0.36242409,0.20132368,0.75924296,0.33817962,0.11932707,0.35776170,0.19940010,0.15095009,0.09674752,0.00234885,0.15254363,0.07180866
2073,0.18285879,0.09712879,0.11825973,0.19502612,0.32102054,0.12490827,0.82019784,0.19334717,0.06934932,0.33172176,0.10729574,0.14562887,0.05833048,0.00161979,0.10094817,0.15316370
2074,0.21469077,0.14081454,0.15630213,0.24197681,0.31966961,0.14468955,0.73412088,0.26993122,0.13693953,0.43157785,0.08426184,0.12993681,0.05237578,0.00209438,0.10903332,0.20849338
2075,0.20968114,0.12423598,0.14426010,0.24552889,0.32469960,0.16119016,0.79076207,0.22288681,0.08728180,0.39259706,0.13464704,0.12395936,0.09846071,0.00139874,0.11973631,0.19156471
2076,0.20725135,0.13659323,0.15498203,0.22114473,0.31628542,0.13990993,0.72977270,0.24462104,0.13327653,0.38209309,0.08561208,0.15083802,0.06019636,0.00451333,0.10999233,0.23088381
2077,0.24762992,0.16892249,0.26373451,0.17034455,0.38751812,0.23202614,0.74505339,0.46432970,0.10581885,0.29581916,0.22262355,0.10866324,0.04486994,0.00456971,0.15852019,0.35401248
